modelo,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,log_loss
Árbol CART,3,0.24501004688546552,0.24892554408385267,0.2505283974104243,0.24892554408385267,0.2428927422677306,1.3980428684207133
Árbol CART,4,0.23968381564844587,0.2540808431909047,0.2534227281915878,0.2540808431909047,0.23487023732049941,1.3928043645423938
Árbol CART,5,0.24383708467309753,0.2525793328958411,0.25112724907059475,0.2525793328958411,0.2427383515625856,1.3968737493529462
Árbol CART,6,0.2436704621567314,0.2529749552723446,0.2525326757957572,0.2529749552723446,0.2371326870989469,1.3986797857785156
Árbol CART,7,0.23268586738111185,0.24822787087800768,0.248158183197429,0.24822787087800768,0.2220465385461221,1.3964838108780422
Árbol CART,8,0.22786336235766913,0.25236694349197303,0.2504981198428967,0.25236694349197303,0.20675771767360374,1.3926528712910895
Árbol CART,9,0.2379421221864952,0.24210750634373165,0.23847314958048724,0.24210750634373165,0.22491296030158475,1.3996562074772445
Árbol CART,10,0.24584673097534834,0.24985413006135454,0.249563874266666,0.24985413006135454,0.23530379541079863,1.4017080611306576
Random Forest,1,0.24822505023442734,0.24399333751785973,0.24393287602076208,0.24399333751785973,0.24376619189095677,1.3892503275573846
Random Forest,2,0.25304755525787004,0.24867650633621372,0.2484434352821934,0.24867650633621372,0.24838573003187472,1.3874950779137956
Random Forest,3,0.26014735432016073,0.2563158061764004,0.2562682084394521,0.2563158061764004,0.2557691582446676,1.3879787169430735
Random Forest,4,0.24892818863879956,0.2471094434593465,0.24667927651887528,0.2471094434593465,0.24605446033242756,1.3879824842984585
Random Forest,5,0.2529474812433012,0.24931602734602237,0.24904471664756173,0.24931602734602237,0.24885195315936928,1.389336162209213
Random Forest,6,0.258271935699933,0.2546582318877423,0.2543339566105987,0.2546582318877423,0.2540418061964228,1.388226288304952
Random Forest,7,0.2633623576691226,0.26065259298607746,0.25978748493542514,0.26065259298607746,0.25986822734888576,1.3873097127648493
Random Forest,8,0.26068318821165437,0.2570238989247375,0.2569459013839308,0.2570238989247375,0.2565641943981145,1.3874119787179335
Random Forest,9,0.25763665594855306,0.25296428394867454,0.25307257651510456,0.25296428394867454,0.25264240777587116,1.3878757632176664
Random Forest,10,0.25991425509110394,0.25476602726853914,0.2547898420555501,0.25476602726853914,0.2545979145887567,1.3885975999542233
Extra Trees,1,0.2570663094440723,0.25352051800448683,0.25371897989141845,0.25352051800448683,0.2530166221426765,1.4150656010679343
Extra Trees,2,0.252377762893503,0.2496608729693676,0.24969249181741351,0.2496608729693676,0.24890399899717738,1.4103860710619631
Extra Trees,3,0.2573342263898192,0.2551058561217128,0.2544197984590976,0.2551058561217128,0.25404506387624737,1.4124319103738319
Extra Trees,4,0.25013397642015006,0.2493843312781388,0.24873407158079086,0.2493843312781388,0.24792578246332186,1.4149538695186195
Extra Trees,5,0.24665058949624866,0.24525394245569682,0.24488430206842038,0.24525394245569682,0.24405790214508552,1.4135365516323988
Extra Trees,6,0.25452109845947757,0.2519977327588482,0.2518137043010347,0.2519977327588482,0.25114968963363865,1.4108421078064801
Extra Trees,7,0.25438713998660417,0.2527546341364893,0.25226986072653734,0.2527546341364893,0.2515884563762106,1.410984834355332
Extra Trees,8,0.25077026121902213,0.25022929644461733,0.24911104371818177,0.25022929644461733,0.24880059780238828,1.4118249966731966
Extra Trees,9,0.2612540192926045,0.2597170872414833,0.25933234219528556,0.2597170872414833,0.2583923062301659,1.4076768497167766
Extra Trees,10,0.2497320471596999,0.24623675638620704,0.24614088676590923,0.24623675638620704,0.24568207787876403,1.4107280539261051
