permutacion,f1_macro_nulo
467,0.25069733891338297
468,0.26028104326625057
469,0.2528444541109669
470,0.2500066286578956
471,0.24910664212160435
472,0.250714953536423
473,0.24896219073119413
474,0.24728758676334567
475,0.25716140937852333
476,0.25276761261180275
477,0.24614523280610276
478,0.2540907783000744
479,0.24856632520307342
480,0.251912630188258
481,0.2524442489359524
482,0.253960488307705
483,0.2556983844694457
484,0.24997376539288574
485,0.2555095991430219
486,0.25043864422857565
487,0.24970512462967578
488,0.24417764309454304
489,0.24914698714349293
490,0.25002423874169855
491,0.2561290425989071
492,0.24928021985417811
493,0.247336046444271
494,0.24928383148155955
495,0.24398640612899236
496,0.2408950053189363
497,0.25658052986988034
498,0.2489428409434144
499,0.24564560092162913
500,0.24628193053789976
501,0.2521416356357772
502,0.2514455984622436
503,0.2487343900024586
504,0.2542064077372517
505,0.24799826000719694
506,0.2526806857466012
507,0.24645160199038452
508,0.24488187868513248
509,0.24525777699203438
510,0.2536132178378394
511,0.25210056505122425
512,0.24394432795606988
513,0.24479328062106023
514,0.247764904807827
515,0.2488610390271498
516,0.24756530724292847
517,0.25510485417011713
518,0.25507512753766204
519,0.24630006002450872
520,0.24135458908911908
521,0.24959179700918038
522,0.24932296258271905
523,0.24487277575155247
524,0.25579190767994625
525,0.25177443029228297
526,0.24676203480471698
527,0.243884142002015
528,0.24692079946162143
529,0.2534211826368611
530,0.24517930340977895
531,0.2465486374809364
532,0.2403595244481444
533,0.2455895684556415
534,0.24845297335505595
535,0.2567585495133954
536,0.2468440527053527
537,0.2457864934048597
538,0.2532381150873467
539,0.24459187567852808
540,0.2504114606834812
541,0.24864683422389044
542,0.25731868274189873
543,0.2511067659923951
544,0.2477139432798154
545,0.25323181287661223
546,0.24984811108837712
547,0.24572306369933972
548,0.24817923813028067
549,0.25051240908555134
550,0.2503602680318535
551,0.24765479605925067
552,0.25459512173825544
553,0.24632113840099337
554,0.24334946842491206
555,0.24915697655436214
556,0.2506405225988093
557,0.24650311163893146
558,0.2528885517032865
559,0.25283888231139506
